Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Adélio Bispo esteve na Câmara dos Deputados na data do atentado contra Jair Bolsonaro,Estadão,https://www.estadao.com.br/estadao-verifica/adelio-bispo-esteve-na-camara-deputados-volta-circular/,Falso,2026-05-29 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRp_oQmEHdLX7bVN00WdpT_zDGh6QNJO6gYHQvpcFKzHcWULhvu,"['Adélio Bispo', 'Câmara dos Deputados, Brasil', 'Deputado', 'Jair Bolsonaro', 'Atentado contra Jair Bolsonaro']"
Jair Bolsonaro foi absolvido de todas as acusações em maio de 2026,AFP Checamos,https://checamos.afp.com/doc.afp.com.B47Q79E,Falso,2026-05-27 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQxhYBJ7ZtY3siynPl1NGaZNBssYC4hm9HjkL4uCdVv0uzEpABb,"['Jair Bolsonaro', '2026', 'Absolvição', 'Maio']"
Bolsonaro pede divórcio após suposto envolvimento de Michelle Bolsonaro com o banqueiro Daniel Vorcaro,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/22/falso-divorcio-jair-michelle-bolsonaro-daniel-vorcaro.ghtm,Falso,2026-05-22 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTxfrYqOoKRflsjLuw4JUSD2z0-pvSaQrIzH0R9UPfMq-0iVYcj,"['Michelle Bolsonaro', 'Daniel Vorcaro', 'Jair Bolsonaro', 'Divórcio']"
Silas Malafaia detona e mostra que já soltou a mão de Flávio Bolsonaro,BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/21/enganoso-video-silas-malafaia-critica-flavio-bolsonaro-filme.amp.htm,Distorcido,2026-05-21 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR-tBIldDAQaV9pl4EA-yQyY5OeJYk2Fwt6X7tXGm4_Ji6DPBK-,"['Silas Malafaia', 'Flávio Bolsonaro', 'Jair Bolsonaro']"
Intercept pediu desculpas e disse não ter provas para reportagem sobre cinebiografia de Jair Bolsonaro,Estadão,https://www.estadao.com.br/estadao-verifica/e-falso-que-intercept-tenha-pedido-desculpas-por-reportagem-sobre-cinebiografia-de-bolsonaro/,Falso,2026-05-21 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCsmiqCeZNNmwXoYs2nzaNcFj0Yx7k2012CjN_EQB2uCER3ijY,"['Jair Bolsonaro', 'The Intercept', 'Reportagem', 'Biográfico']"
"Tema musical do filme sobre Jair Bolsonaro, está sendo uma das mais tocadas nos Estados Unidos",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/20/falso-musica-tema-filme-bolsonaro-mais-tocadas-eua.ghtm,Falso,2026-05-20 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSrVKX0TrHUEmFHS98yjQC8lP9VG4VDGJeYnK_Bsuc48oOsu2O0,"['Jair Bolsonaro', 'Música-tema', 'Música', 'Estados Unidos', 'Filme']"
"""AQUI É BOLSONARO!"" Foi com essa frase, aos gritos de uma multidão em Copacabana, que Shakira teria protagonizado um dos momentos mais explosivos da história dos shows no Brasil. Enquanto a plateia ia ao delírio, bastidores ferviam com tentativas de interrupção e revolta de setores da mídia.",Observador,https://observador.pt/factchecks/fact-check-shakira-declara-apoio-a-bolsonaro-em-concerto-em-copacabana/,Errado,2026-05-20 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4BmXfQ1bI3cc97uLr0fVhytjccNsiqGkkw9VN7aT9f_giHA9k,"['Shakira', 'Jair Bolsonaro', 'Espetáculo', 'Copacabana', 'Brasil', 'Eduardo Bolsonaro', 'Inteligência artificial']"
Nunes Marques tornou Bolsonaro elegível novamente,Aos Fatos,https://www.aosfatos.org/noticias/nunes-marques-bolsonaro-elegivel/,falso,2026-05-19 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSFEny-cIwYUbTn8LCeERh4iUUid7vn9hZ9BT1Pn3vjAiquyCym,"['Nunes Marques', 'Jair Bolsonaro']"
The Intercept Brasil pediu desculpas e disse não ter provas que liguem família Bolsonaro ao caso Master,Aos Fatos,https://www.aosfatos.org/noticias/intercept-provas-vorcaro-filme-bolsonaro/,falso,2026-05-18 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRO_x9FzloaA8VpugjC5E80NEMKIxKcoX02dbETKdpP75oH4UqV,"['Jair Bolsonaro', 'The Intercept', 'Brasil', 'Prova']"
Vídeo mostra Bolsonaro ‘embolsando’ objeto dourado,Aos Fatos,https://www.aosfatos.org/noticias/bolsonaro-roubando-moeda-ouro/,falso,2026-05-15 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTO1H1GJ5yTFS1hC4u7hcCioq-RkS5IuBdLEF8EOXPVT7bytv0p,"['Jair Bolsonaro', 'Vídeo', 'Dourado', 'Objeto']"
Intercept admite não ter provas do pagamento do valor para o filme de Bolsonaro,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/15/falso-intercept-admitiu-nao-provas-flavio-bolsonaro-vorcaro.ghtm,Falso,2026-05-15 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ76Aay9nuhAJ3E9q97-hA_83BujujDUk7PmGVGZ0IlgxG1EMcg,"['The Intercept', 'Jair Bolsonaro', 'Filme', 'Pagamento']"
Zico critica Bolsonaro em entrevista,AFP Checamos,https://checamos.afp.com/doc.afp.com.B2VD69K,Falso,2026-05-14 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTbEJ5tcfd-K2Dp3nqpLEnX2YPFtQPyn8Z4jiP6ny_6JUMp_QHQ,"['Zico', 'Jair Bolsonaro', 'Entrevista']"
"A Anvisa mandou recolher produtos da marca Ypê com base em acusações sem provas e por motivação política, já que diretores da empresa doaram R$ 1 milhão para a campanha de Jair Bolsonaro em 2022.",Estadão,https://www.estadao.com.br/estadao-verifica/videos-enganam-motivacao-politica-inspecao-anvisa-fabrica-ype/,Enganoso,2026-05-12 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQgCNawJuViobbkNsokasJI6_1fa8KD3Mv1oa9nzcBL8lum7utz,"['Ypê', 'Anvisa', 'Agência Nacional de Vigilância Sanitária', 'Produto', 'Jair Bolsonaro', 'Empresa', '2022', 'Político', 'Motivação']"
Bolsonaro deixa hospital com gritos de 'Força Bolsonaro' e 'mito',AFP Checamos,https://checamos.afp.com/doc.afp.com.B2HX2NQ,Enganoso,2026-05-11 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTXjl1Mu-639hor2XbFrV5AIEr-RnZUhYoJlEfPI1NrSBu2u3-D,"['Jair Bolsonaro', 'Hospital']"
FBI pediu prisão de Flávio Bolsonaro,Aos Fatos,https://www.aosfatos.org/noticias/fbi-prisao-flavio-bolsonaro/,falso,2026-06-02 20:03:45,,"['Flávio Bolsonaro', 'Federal Bureau of Investigation', 'Prisão']"
Deu ruim! Moraes vai para cima e manda PF prender Flávio e Eduardo Bolsonaro após encontro com Trump,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/06/02/falso-moraes-mandado-prisao-flavio-eduardo-bolsonaro.ghtm,Falso,2026-06-02 17:40:53,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSgfY9BC1AOgHVU9Usir4wPZ9RLgZ17MvhpbujcHiJQgJW5654s,"['Alexandre de Moraes', 'Flávio Bolsonaro', 'Eduardo Bolsonaro', 'Donald Trump', 'Polícia Federal', 'Departamento de Polícia Federal']"
PF concluiu investigação sobre pedido de dinheiro feito por Flávio Bolsonaro a Daniel Vorcaro,Estadão,https://www.estadao.com.br/estadao-verifica/falso-pf-conclui-investigacao-mensagens-flavio-bolsonaro-vorcaro/,Falso,2026-06-02 16:38:03,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaYJh5t4fpeTRYmTLtDfck1ilGrsLtt2JMJpsppigfvcWoWLXJ,"['Flávio Bolsonaro', 'Daniel Vorcaro', 'Departamento de Polícia Federal', 'Polícia Federal', 'Pesquisa', 'Dinheiro']"
Casa Branca desmente encontro entre Flávio Bolsonaro com Donald Trump,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/06/01/falso-casa-branca-desmente-reuniao-donald-trump-flavio-bolsonaro.ghtm,Falso,2026-06-01 19:15:55,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSp5-iy4biHeCQ1BMoJgzGtv7JcksrOjh1NEA1_uEEMoRJv_Fvw,"['Flávio Bolsonaro', 'Donald Trump', 'Casa Branca']"
Lula foge do palácio aos gritos de volta Bolsonaro,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/07/lula-nao-saiu-do-palco-apos-gritos-pro-bolsonaro-audio-e-manipulado.ghtm,Falso,2026-05-07 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRZ6abGEWUU4Cgqwoa6JezPMJHI8r7f2jet680s5S2ivqVkFOT8,"['Luiz Inácio Lula da Silva', 'Jair Bolsonaro']"
Shakira delcarou apoio a Flávio e a Jair Bolsonaro durante show em Copacabana,AFP Checamos,https://checamos.afp.com/doc.afp.com.B22G4WE,Falso,2026-05-06 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSxqQiuqnNWEFs9PZHc-H-trjN_HPWwT6nofYZ9F6ccCOCYBrE_,"['Shakira', 'Jair Bolsonaro', 'Flávio Bolsonaro', 'Espetáculo', 'Copacabana']"
Jair Renan filho de Bolsonaro é alvo de operação policial em 2026,AFP Checamos,https://checamos.afp.com/doc.afp.com.A9ZT363,Enganoso,2026-05-06 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQqK530FmiITbKQu_yj6HsGFyzmjK_cbh-azDGKyzfhptCGEd0R,"['Jair Renan Bolsonaro', 'Jair Bolsonaro', '2026', 'Polícia']"
"Shakira declarou apoio a Bolsonaro durante show em Copacabana, no Rio",BOL - UOL,https://www.bol.uol.com.br/noticias/2026/05/05/shakira-nao-deu-declaracao-de-apoio-a-bolsonaro-video-e-ia.ghtm,Falso,2026-05-05 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTidDxHHXqMpqFLQJmRIqrqNnrt-U6_PRuRDlezwEjGdIFYbgfm,"['Jair Bolsonaro', 'Shakira', 'Rio de Janeiro', 'Copacabana']"
"""URGENTE - Flávio Bolsonaro vai acabar com o Bolsa Família de R$ 600,00 e poderá retornar com Auxílio Brasil de R$ 1.200,00 para famílias carentes caso seja eleito Presidente do Brasil""",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2026/05/28/falso-flavio-bolsonaro-promessa-bolsa-familia-troca-auxilio-brasil.ghtm,Falso,2026-05-28 17:20:26,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcS-sjMJAOGoPePiSwTGxFA1WuWMDKYs3ipU6bexi86p039-Qun-,"['Bolsa Família', 'Flávio Bolsonaro', 'Auxílio Brasil', 'Presidente do Brasil', 'Presidente', 'Brasil', 'Eleição']"
Shakira declarou apoio a Jair Bolsonaro durante show em Copacabana,Aos Fatos,https://www.aosfatos.org/noticias/shakira-lula-bolsonaro-show-brasil/,falso,2026-05-04 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4WqwPPD1Q5Ioa2y6ehyV3nk9vnuJVjFfRTPfYnb7LQhKBzK-f,"['Jair Bolsonaro', 'Shakira', 'Espetáculo', 'Copacabana']"
Fotos publicadas por Flávio sobre o encontro com Trump foram geradas por IA,Aos Fatos,https://www.aosfatos.org/noticias/fotos-trump-flavio-bolsonaro/,falso,2026-05-28 05:07:38,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcT7s9jrPspV4KVRZ3XgVxOi44SHcHK0hnG2tD8yt6LCNrRqLj1i,"['Flávio Bolsonaro', 'Donald Trump', 'Inteligência artificial', 'Fotografia']"
Fotos mostram Flávio e Eduardo Bolsonaro conversando com Trump no Salão Oval,Aos Fatos,https://www.aosfatos.org/noticias/flavio-bolsonaro-trump-ia/,falso,2026-05-28 05:07:38,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRqcVgSN1srwz39q4-w6xxHj4BDwy09dgxeUrLbahr0QoygtI84,"['Flávio Bolsonaro', 'Donald Trump', 'Eduardo Bolsonaro', 'Fotografia', 'Salão Oval']"
